iter	Passed	Remaining
0	152	152694
1	158	79082
2	163	54373
3	168	42027
4	173	34474
5	178	29613
6	183	26089
7	188	23382
8	193	21278
9	198	19677
10	203	18275
11	209	17230
12	216	16409
13	221	15567
14	227	14923
15	232	14278
16	236	13678
17	242	13220
18	246	12739
19	249	12237
20	253	11803
21	256	11390
22	258	10990
23	260	10611
24	263	10257
25	264	9910
26	266	9589
27	267	9302
28	270	9066
29	272	8806
30	273	8557
31	275	8321
32	276	8101
33	277	7893
34	279	7697
35	280	7506
36	281	7325
37	282	7161
38	284	7022
39	286	6871
40	287	6720
41	288	6577
42	289	6440
43	290	6311
44	291	6186
45	292	6065
46	293	5951
47	294	5839
48	295	5731
49	296	5628
50	297	5542
51	300	5478
52	301	5395
53	302	5307
54	303	5222
55	305	5142
56	306	5062
57	306	4985
58	307	4910
59	308	4839
60	309	4768
61	310	4700
62	312	4641
63	314	4597
64	315	4540
65	316	4480
66	317	4420
67	318	4364
68	319	4313
69	320	4262
70	321	4212
71	322	4162
72	323	4114
73	324	4066
74	326	4022
75	328	3994
76	330	3959
77	331	3916
78	332	3874
79	333	3832
80	334	3794
81	335	3757
82	336	3716
83	337	3678
84	338	3641
85	339	3605
86	340	3571
87	342	3552
88	344	3527
89	345	3494
90	346	3462
91	347	3430
92	348	3399
93	349	3367
94	350	3337
95	351	3307
96	352	3278
97	353	3251
98	354	3223
99	355	3200
100	357	3184
101	358	3160
102	360	3141
103	361	3115
104	362	3091
105	363	3066
106	364	3042
107	365	3019
108	366	2995
109	367	2971
110	368	2948
111	369	2926
112	370	2909
113	373	2903
114	375	2890
115	376	2871
116	377	2850
117	378	2831
118	380	2813
119	381	2795
120	382	2777
121	383	2756
122	384	2740
123	387	2734
124	389	2723
125	390	2709
126	391	2691
127	392	2674
128	393	2657
129	394	2640
130	395	2624
131	396	2608
132	397	2592
133	398	2578
134	402	2580
135	404	2571
136	405	2557
137	407	2542
138	408	2527
139	409	2513
140	410	2500
141	411	2484
142	412	2470
143	417	2480
144	420	2480
145	421	2468
146	423	2456
147	424	2443
148	425	2430
149	426	2418
150	428	2406
151	430	2400
152	432	2396
153	434	2388
154	435	2376
155	437	2364
156	438	2352
157	439	2341
158	440	2329
159	441	2318
160	442	2305
161	444	2300
162	447	2297
163	449	2289
164	450	2278
165	451	2267
166	452	2256
167	453	2245
168	454	2234
169	455	2223
170	456	2213
171	458	2207
172	461	2207
173	463	2200
174	464	2189
175	465	2179
176	466	2169
177	467	2159
178	468	2149
179	469	2139
180	470	2129
181	471	2119
182	473	2115
183	476	2112
184	477	2105
185	479	2097
186	480	2087
187	481	2078
188	482	2069
189	483	2060
190	484	2050
191	484	2041
192	486	2032
193	487	2027
194	490	2024
195	492	2019
196	493	2010
197	494	2002
198	495	1994
199	496	1986
200	497	1978
201	498	1970
202	499	1961
203	501	1957
204	504	1958
205	506	1953
206	508	1946
207	509	1938
208	510	1930
209	511	1923
210	512	1915
211	513	1908
212	514	1900
213	516	1896
214	519	1895
215	520	1889
216	521	1882
217	522	1875
218	523	1868
219	525	1861
220	526	1855
221	527	1847
222	528	1840
223	529	1833
224	530	1828
225	533	1826
226	534	1820
227	535	1813
228	536	1807
229	537	1800
230	538	1793
231	539	1786
232	540	1780
233	541	1773
234	542	1765
235	543	1759
236	544	1753
237	546	1750
238	548	1745
239	549	1739
240	550	1733
241	551	1726
242	552	1720
243	553	1713
244	554	1707
245	554	1701
246	555	1694
247	556	1688
248	557	1681
249	558	1675
250	560	1673
251	562	1670
252	563	1664
253	564	1659
254	565	1653
255	566	1647
256	567	1641
257	568	1635
258	569	1629
259	570	1624
260	571	1618
261	572	1612
262	573	1607
263	575	1605
264	577	1601
265	578	1596
266	579	1590
267	580	1585
268	581	1579
269	582	1574
270	583	1568
271	584	1563
272	584	1557
273	585	1552
274	586	1546
275	587	1541
276	590	1540
277	591	1536
278	592	1531
279	593	1526
280	594	1521
281	595	1516
282	596	1511
283	597	1506
284	598	1501
285	599	1496
286	600	1491
287	601	1486
288	602	1481
289	603	1478
290	605	1476
291	607	1471
292	608	1467
293	609	1462
294	610	1457
295	611	1453
296	612	1448
297	612	1443
298	613	1439
299	614	1434
300	615	1429
301	616	1425
302	618	1423
303	621	1421
304	622	1417
305	623	1413
306	624	1408
307	625	1404
308	626	1400
309	626	1395
310	627	1390
311	628	1386
312	629	1382
313	630	1377
314	632	1374
315	634	1373
316	635	1369
317	636	1365
318	637	1361
319	638	1357
320	639	1353
321	640	1348
322	641	1344
323	642	1340
324	643	1336
325	644	1332
326	645	1328
327	647	1326
328	649	1324
329	650	1320
330	651	1316
331	652	1313
332	653	1309
333	654	1304
334	655	1300
335	656	1296
336	657	1292
337	658	1288
338	658	1284
339	659	1281
340	662	1279
341	663	1277
342	664	1273
343	665	1269
344	666	1266
345	667	1262
346	668	1258
347	669	1254
348	670	1250
349	671	1247
350	672	1243
351	673	1239
352	674	1235
353	675	1232
354	677	1230
355	679	1228
356	680	1224
357	681	1221
358	681	1217
359	683	1214
360	684	1211
361	685	1207
362	686	1204
363	687	1200
364	688	1197
365	689	1194
366	691	1193
367	693	1190
368	694	1188
369	695	1184
370	696	1181
371	697	1178
372	698	1174
373	699	1171
374	700	1168
375	701	1164
376	702	1161
377	703	1158
378	705	1155
379	707	1153
380	709	1152
381	710	1149
382	711	1146
383	712	1143
384	713	1139
385	714	1136
386	715	1133
387	716	1130
388	717	1127
389	718	1124
390	721	1123
391	722	1120
392	723	1117
393	726	1116
394	727	1114
395	728	1111
396	729	1108
397	730	1105
398	731	1102
399	733	1100
400	736	1100
401	738	1099
402	740	1097
403	742	1094
404	743	1091
405	744	1088
406	745	1085
407	746	1082
408	747	1079
409	749	1077
410	751	1077
411	754	1076
412	756	1074
413	757	1071
414	758	1069
415	759	1066
416	760	1063
417	761	1060
418	762	1057
419	765	1057
420	767	1055
421	769	1054
422	771	1052
423	772	1049
424	773	1046
425	774	1044
426	775	1041
427	777	1038
428	780	1039
429	782	1037
430	785	1036
431	786	1034
432	788	1031
433	789	1029
434	790	1026
435	791	1023
436	792	1021
437	795	1020
438	798	1019
439	800	1018
440	801	1015
441	802	1013
442	803	1010
443	804	1007
444	805	1005
445	807	1002
446	809	1001
447	811	999
448	814	999
449	815	996
450	816	994
451	817	991
452	818	988
453	820	986
454	821	983
455	823	982
456	824	980
457	827	979
458	828	976
459	830	974
460	831	971
461	832	969
462	833	966
463	834	964
464	835	961
465	838	960
466	839	958
467	842	957
468	843	955
469	844	952
470	845	949
471	846	947
472	847	944
473	849	942
474	850	939
475	853	939
476	855	938
477	857	936
478	858	933
479	859	931
480	860	928
481	861	926
482	862	923
483	864	921
484	865	919
485	868	918
486	870	916
487	872	915
488	873	912
489	874	910
490	875	907
491	877	905
492	878	903
493	879	901
494	882	900
495	884	899
496	886	897
497	887	894
498	888	892
499	890	890
500	891	887
501	892	885
502	893	882
503	896	882
504	897	880
505	900	879
506	902	877
507	903	874
508	904	872
509	905	870
510	906	867
511	907	865
512	908	862
513	911	862
514	913	860
515	915	858
516	916	856
517	918	854
518	919	851
519	920	849
520	921	847
521	922	844
522	925	844
523	927	842
524	930	841
525	931	839
526	932	837
527	933	834
528	934	832
529	936	830
530	937	827
531	939	826
532	941	824
533	944	824
534	945	821
535	946	819
536	947	817
537	949	814
538	950	812
539	951	810
540	953	808
541	956	807
542	958	807
543	960	805
544	961	802
545	962	800
546	963	798
547	964	795
548	966	793
549	969	793
550	971	791
551	973	790
552	975	788
553	976	785
554	977	783
555	978	781
556	979	779
557	981	777
558	982	775
559	985	774
560	987	772
561	988	770
562	989	768
563	990	766
564	992	763
565	993	761
566	994	759
567	995	757
568	998	756
569	1001	755
570	1002	753
571	1004	751
572	1005	749
573	1006	747
574	1007	744
575	1008	742
576	1010	740
577	1013	739
578	1016	739
579	1017	737
580	1019	735
581	1020	732
582	1021	730
583	1022	728
584	1023	726
585	1025	724
586	1028	723
587	1029	721
588	1032	720
589	1033	718
590	1034	716
591	1036	714
592	1037	711
593	1038	709
594	1039	707
595	1042	706
596	1045	705
597	1046	703
598	1047	701
599	1048	699
600	1049	696
601	1050	694
602	1051	692
603	1052	690
604	1054	688
605	1057	687
606	1058	685
607	1060	683
608	1061	681
609	1063	679
610	1064	677
611	1065	675
612	1066	673
613	1067	671
614	1068	668
615	1070	667
616	1072	665
617	1074	664
618	1075	662
619	1077	660
620	1078	658
621	1079	656
622	1080	654
623	1081	651
624	1083	649
625	1084	648
626	1086	646
627	1089	645
628	1091	643
629	1092	641
630	1093	639
631	1094	637
632	1095	635
633	1096	633
634	1098	631
635	1101	630
636	1103	629
637	1105	627
638	1106	624
639	1107	622
640	1108	620
641	1109	618
642	1110	616
643	1111	614
644	1113	612
645	1116	611
646	1117	609
647	1119	608
648	1121	606
649	1122	604
650	1123	602
651	1124	600
652	1125	597
653	1126	595
654	1127	594
655	1130	592
656	1132	591
657	1133	589
658	1135	587
659	1136	585
660	1137	583
661	1138	581
662	1139	579
663	1140	577
664	1141	574
665	1142	573
666	1145	571
667	1147	570
668	1148	568
669	1149	566
670	1150	564
671	1152	562
672	1153	560
673	1154	558
674	1155	556
675	1156	554
676	1158	552
677	1159	550
678	1161	549
679	1162	547
680	1163	545
681	1164	543
682	1165	541
683	1166	539
684	1167	537
685	1169	535
686	1170	533
687	1172	531
688	1174	530
689	1176	528
690	1177	526
691	1178	524
692	1179	522
693	1181	520
694	1182	518
695	1183	516
696	1183	514
697	1185	512
698	1186	511
699	1188	509
700	1190	507
701	1191	505
702	1192	503
703	1193	501
704	1194	499
705	1195	497
706	1196	495
707	1197	493
708	1198	492
709	1200	490
710	1202	488
711	1204	487
712	1206	485
713	1207	483
714	1208	481
715	1209	479
716	1210	477
717	1211	475
718	1212	473
719	1213	472
720	1216	470
721	1218	469
722	1219	467
723	1220	465
724	1222	463
725	1223	461
726	1224	459
727	1225	457
728	1226	455
729	1227	454
730	1229	452
731	1231	450
732	1233	449
733	1234	447
734	1236	445
735	1237	443
736	1238	441
737	1239	439
738	1240	438
739	1241	436
740	1242	434
741	1245	433
742	1247	431
743	1249	429
744	1250	427
745	1251	426
746	1252	424
747	1253	422
748	1254	420
749	1255	418
750	1257	416
751	1260	415
752	1262	414
753	1264	412
754	1265	410
755	1266	408
756	1267	406
